Date,Price,Open,High,Low,Vol.,Change %
3/31/2020,"10,727.80","10,901.80","11,017.80","10,148.00",536.63K,-1.60%
3/30/2020,"10,901.80","11,133.80","11,220.70","10,843.80",292.57K,-3.34%
3/27/2020,"11,278.70","11,249.70","11,336.70","11,191.80",273.29K,0.52%
3/26/2020,"11,220.70","11,249.70","11,713.60","11,191.80",1.06M,0.00%
3/25/2020,"11,220.70","11,133.80","11,336.70","11,104.80",616.79K,1.04%
3/24/2020,"11,104.80","11,481.70","11,481.70","10,669.90",386.06K,0.79%
3/23/2020,"11,017.80","11,597.70","11,597.70","10,959.80",400.44K,-5.00%
3/20/2020,"11,597.70","12,177.60","12,177.60","11,568.70",957.48K,-4.76%
3/19/2020,"12,177.60","12,061.60","12,177.60","11,713.60",361.81K,0.00%
3/18/2020,"12,177.60","12,206.50","12,206.50","12,032.60",464.46K,0.00%
3/17/2020,"12,177.60","11,539.70","12,177.60","11,539.70",340.57K,3.19%
3/16/2020,"11,800.60","12,235.50","12,235.50","11,597.70",504.64K,-3.55%
3/13/2020,"12,235.50","12,467.50","12,467.50","11,684.70",731.05K,-2.54%
3/12/2020,"12,554.50","12,873.40","13,279.30","12,409.50",446.04K,-5.87%
3/11/2020,"13,337.30","13,627.30","13,714.20","13,163.40",289.66K,-2.13%
3/10/2020,"13,627.30","13,337.30","13,627.30","13,337.30",255.04K,2.17%
3/9/2020,"13,337.30","13,917.20","14,033.20","13,337.30",985.53K,-6.12%
3/6/2020,"14,207.10","14,352.10","14,352.10","14,207.10",212.70K,-1.21%
3/5/2020,"14,381.10","14,381.10","14,410.10","14,352.10",169.73K,0.00%
3/4/2020,"14,381.10","14,265.10","14,439.10","14,265.10",346.68K,0.81%
3/3/2020,"14,265.10","14,381.10","14,381.10","14,236.10",315.92K,0.00%
3/2/2020,"14,265.10","14,236.10","14,294.10","14,207.10",326.49K,0.20%
2/28/2020,"14,236.10","14,149.20","14,323.10","14,149.20",172.91K,-1.01%
2/27/2020,"14,381.10","14,178.20","14,381.10","14,178.20",289.39K,1.22%
2/26/2020,"14,207.10","14,207.10","14,265.10","14,149.20",146.76K,-0.81%
2/25/2020,"14,323.10","14,091.20","14,323.10","14,091.20",258.69K,1.44%
2/24/2020,"14,120.20","14,091.20","14,207.10","14,033.20",753.41K,-0.81%
2/21/2020,"14,236.10","14,236.10","14,294.10","14,149.20",676.70K,0.00%
2/20/2020,"14,236.10","14,207.10","14,236.10","14,178.20",486.43K,0.20%
2/19/2020,"14,207.10","14,178.20","14,207.10","14,149.20",217.65K,0.00%
2/18/2020,"14,207.10","14,207.10","14,236.10","14,120.20",306.36K,0.00%
2/17/2020,"14,207.10","14,062.20","14,207.10","14,062.20",500.75K,0.00%
2/14/2020,"14,207.10","14,381.10","14,410.10","14,033.20",785.16K,-1.61%
2/13/2020,"14,439.10","14,555.10","14,613.10","14,410.10",172.79K,-1.58%
2/12/2020,"14,671.10","14,468.10","14,671.10","14,439.10",259.17K,1.20%
2/11/2020,"14,497.10","14,410.10","14,497.10","14,381.10",258.51K,0.40%
2/10/2020,"14,439.10","14,410.10","14,439.10","14,323.10",180.77K,0.00%
2/7/2020,"14,439.10","14,439.10","14,439.10","14,323.10",187.40K,0.00%
2/6/2020,"14,439.10","14,352.10","14,468.10","14,207.10",444.15K,0.61%
2/5/2020,"14,352.10","14,294.10","14,352.10","14,265.10",326.13K,0.20%
2/4/2020,"14,323.10","14,323.10","14,410.10","14,149.20",427.02K,0.00%
2/3/2020,"14,323.10","14,091.20","14,381.10","13,917.20",407.67K,-1.20%
1/31/2020,"14,497.10","14,787.00","14,787.00","14,381.10",331.85K,-1.96%
1/30/2020,"14,787.00","14,903.00","14,961.00","14,613.10",313.89K,-1.54%
1/22/2020,"15,019.00","14,961.00","15,077.00","14,961.00",204.02K,0.19%
1/21/2020,"14,990.00","14,932.00","15,019.00","14,787.00",645.03K,0.19%
1/20/2020,"14,961.00","14,932.00","14,961.00","14,874.00",127.66K,0.00%
1/17/2020,"14,961.00","14,961.00","15,019.00","14,903.00",134.47K,0.00%
1/16/2020,"14,961.00","14,816.00","14,961.00","14,787.00",237.03K,0.78%
